No_chronic_conditions,state,count,,,,,,,,,,,,
0,NSW,"4,181.20",,,,,,,,,,,,
0,Vic,"3,264.80",,,,,,,,,,,,
0,Qld,"2,484.70",,,,,,,,,,,,
0,SA,848,,,,,,,,,,,,
0,WA,"1,362.40",,,,,,,,,,,,
0,Tas,244.3,,,,,,,,,,,,
0,NT,108.7,,,,,,,,,,,,
0,ACT,207,,,,,,,,,,,,
1,NSW,"2,078.60",,,,,,,,,,,,
1,Vic,"1,732.80",,,,,,,,,,,,
1,Qld,"1,289.60",,,,,,,,,,,,
1,SA,445.5,,,,,,,,,,,,
1,WA,677,,,,,,,,,,,,
1,Tas,139.3,,,,,,,,,,,,
1,NT,43.1,,,,,,,,,,,,
1,ACT,114.4,,,,,,,,,,,,
2,NSW,844.8,,,,,,,,,,,,
2,Vic,729.1,,,,,,,,,,,,
2,Qld,591.9,,,,,,,,,,,,
2,SA,219.8,,,,,,,,,,,,
2,WA,264.5,,,,,,,,,,,,
2,Tas,70.8,,,,,,,,,,,,
2,NT,16.5,,,,,,,,,,,,
2,ACT,46.6,,,,,,,,,,,,
3 or more,NSW,667.2,,,,,,,,,,,,
3 or more,Vic,547.2,,,,,,,,,,,,
3 or more,Qld,442.8,,,,,,,,,,,,
3 or more,SA,166.9,,,,,,,,,,,,
3 or more,WA,180.5,,,,,,,,,,,,
3 or more,Tas,58.8,,,,,,,,,,,,
3 or more,NT,9.3,,,,,,,,,,,,
3 or more,ACT,402.3,,,,,,,,,,,,
